20160219 13:31:30  exbug_content_download - mysql_query - sqlSeleCom -> "Table 'News.N20160219' doesn't exist" - "1146"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
20160223 12:59:39  exbug_data_sync -> "Function" - "Unknown column 'Klist' in 'field list'"
